"lon","lat","unc"
-117.939095,34.116203,3
-120.728521,35.357865,2
-117.844338,33.639647,4
-117.170738,33.065753,14
-98.630823,29.576696,67
-120.136536,34.678692,NA
-117.250288,32.943305,4
-98.674713,29.62037,4
-117.198001,33.082839,3
-122.499581,37.831184,4
-155.710038,19.745528,NA
-110.733214,32.182231,10
-117.239363,32.814067,5
-117.424897,33.971858,6
-118.398645,33.382662,5
-117.285889,33.169011,7
-98.499607,29.859514,4
-117.823608,33.917442,4
-117.621855,33.619978,3
-117.141517,32.734612,3
-118.650006,34.099942,NA
-118.498178,33.439117,3
-119.706395,34.456509,3
-119.185875,34.992234,8
-117.435267,33.97965,25
-97.610286,30.459668,2
-117.823045,33.918462,7
-121.794345,36.654463,44
-116.943083,32.725053,9
-117.852333,34.120572,4
-117.94207,34.114503,3
-117.851487,34.121097,4
-117.84838,34.121372,4
-116.991593,32.649064,NA
-97.605488,30.470355,1
-117.841754,33.632202,3
-97.757622,30.418378,5
-121.200986,36.485465,NA
-121.222853,36.480193,NA
-97.913633,29.911361,NA
-97.729559,30.506919,40
-117.661586,33.551841,58
-117.661642,33.551954,13
-101.868949,31.930996,192
-118.243211,34.190899,8
-118.603,34.279028,NA
-117.026744,32.643408,NA
-98.931477,30.227978,2
-98.491121,29.617139,26
-97.804902,30.494653,NA
-118.466072,34.376583,4
-97.59741,30.474209,4
-97.805391,30.493423,130
-98.476653,29.60418,4
-98.501089,29.648853,3
-98.636842,29.581283,2
-118.408732,34.231469,8
-98.442405,29.593747,3
-117.320308,34.204271,3
-121.504484,36.756556,4
-98.309917,29.632242,3
-117.542283,33.800261,NA
-118.407997,34.231743,8
-118.408399,34.226769,8
-98.482068,29.461598,5
-97.725656,30.503789,37
-121.690357,36.619273,9
-121.627357,37.584312,2
-98.475354,29.633186,33
-117.240493,33.588532,7
-117.59243,33.400864,110
-115.961005,36.29847,2
-110.690138,32.003933,4
-110.93753,32.124222,4
-116.592505,32.864033,4
-99.759233,30.490478,NA
-122.288536,37.469111,NA
-97.735955,30.496877,20
-117.351607,34.032355,20
-116.533161,33.079628,NA
-97.709808,30.89223,12
-98.529678,29.551987,3
-98.35163,29.687655,6
-97.82029,30.697977,NA
-117.938592,34.11645,7
-98.393274,29.605456,9
-99.714097,32.460687,4
-98.286469,29.923633,5
-117.724574,33.667995,6
-98.474048,29.59681,30
-97.85234,30.515209,2
-98.478934,29.599657,12
-100.442397,31.443466,5
-98.511315,29.734192,8
-97.764463,30.564569,355
-98.511156,29.734128,8
-117.773313,33.743788,3
-117.758602,33.80543,195
